fold,feature,coefficient,direction,experiment,feature_set
4,n_low_synsets,0.9410853740032162,positive,cross_domain_cv,shared_relaxed_features
5,aux_verb_ratio,0.10165895642663711,positive,cross_domain_cv,shared_relaxed_features
5,avg_Auditory_sensorimotor,0.314287923895169,positive,cross_domain_cv,shared_relaxed_features
5,avg_Head_sensorimotor,-0.35237409334155334,negative,cross_domain_cv,shared_relaxed_features
5,avg_Mouth_sensorimotor,-0.13384274312377334,negative,cross_domain_cv,shared_relaxed_features
5,avg_valence,0.4780128950150939,positive,cross_domain_cv,shared_relaxed_features
5,avg_word_length,-1.2149631749227858,negative,cross_domain_cv,shared_relaxed_features
5,n_VERB_Tense_Past,0.03852153159234432,positive,cross_domain_cv,shared_relaxed_features
5,n_adjacent_repetitions,0.3933740188138527,positive,cross_domain_cv,shared_relaxed_features
5,n_adv,0.18008455888261862,positive,cross_domain_cv,shared_relaxed_features
5,n_aux,0.6580724665792088,positive,cross_domain_cv,shared_relaxed_features
5,n_low_synsets,0.7863563592564392,positive,cross_domain_cv,shared_relaxed_features
